OID_ZCTA5_20,GEOID_ZCTA5_20,NAMELSAD_ZCTA5_20,AREALAND_ZCTA5_20,AREAWATER_ZCTA5_20,MTFCC_ZCTA5_20,CLASSFP_ZCTA5_20,FUNCSTAT_ZCTA5_20,OID_PLACE_20,GEOID_PLACE_20,NAMELSAD_PLACE_20,AREALAND_PLACE_20,AREAWATER_PLACE_20,MTFCC_PLACE_20,CLASSFP_PLACE_20,FUNCSTAT_PLACE_20,AREALAND_PART,AREAWATER_PART
221704257878571,12765,ZCTA5 12765,28907005,6157023,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,28907005,6157023
221704257878574,12766,ZCTA5 12766,24226468,13955,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,24226468,13955
221704257878576,12767,ZCTA5 12767,5284084,40778,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,5284084,40778
221704257878583,12768,ZCTA5 12768,85802108,1183121,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,85802108,1183121
221704257878584,12769,ZCTA5 12769,10926260,0,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,10926260,0
221704257878585,12770,ZCTA5 12770,9088846,697047,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,9088846,697047
221704257878586,12771,ZCTA5 12771,89529791,1781294,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,81032476,1336753
221704257878586,12771,ZCTA5 12771,89529791,1781294,G6350,B5,S,27890732195716,3659388,Port Jervis city,6552210,444541,G4110,C5,A,6552210,444541
221704257878586,12771,ZCTA5 12771,89529791,1781294,G6350,B5,S,2809015922367382,3670090,Sparrow Bush CDP,7273092,182648,G4210,U1,S,1945105,0
221704257878587,12775,ZCTA5 12775,35235541,2913487,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,13136576,215647
221704257878587,12775,ZCTA5 12775,35235541,2913487,G6350,B5,S,2809015682491680,3608158,Bridgeville CDP,4335637,514,G4210,U1,S,95971,0
221704257878587,12775,ZCTA5 12775,35235541,2913487,G6350,B5,S,28090737069177,3663132,Rock Hill CDP,22251619,2724960,G4210,U1,S,22002994,2697840
221704257878595,12776,ZCTA5 12776,299287948,8525993,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,296763820,8521529
221704257878595,12776,ZCTA5 12776,299287948,8525993,G6350,B5,S,28090737069178,3663583,Roscoe CDP,2524128,4464,G4210,U1,S,2524128,4464
221704257878598,12777,ZCTA5 12777,115694755,3885323,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,115694755,3885323
221704257878603,12778,ZCTA5 12778,4460374,278374,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,723025,12526
221704257878603,12778,ZCTA5 12778,4460374,278374,G6350,B5,S,28090737069179,3667730,Smallwood CDP,6222629,323847,G4210,U1,S,3737349,265848
221704257878607,12779,ZCTA5 12779,17408514,950536,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,9410047,101891
221704257878607,12779,ZCTA5 12779,17408514,950536,G6350,B5,S,28090737069180,3668968,South Fallsburg CDP,8251054,848645,G4210,U1,S,7998467,848645
