county,zip,state,n
MADISON,13162,NY,1
MADISON,13163,NY,99
MADISON,13206,NY,1
MADISON,13212,NY,1
MADISON,13214,NY,1
MADISON,13308,NY,2
MADISON,13310,NY,100
MADISON,13314,NY,42
MADISON,13315,NY,1
MADISON,13332,NY,134
MADISON,13334,NY,182
MADISON,13335,NY,1
MADISON,13345,NY,1
MADISON,13346,NY,667
MADISON,13355,NY,132
MADISON,13356,NY,1
MADISON,13364,NY,21
MADISON,13402,NY,193
MADISON,13403,NY,1
MADISON,13406,NY,2
MADISON,13408,NY,354
MADISON,13409,NY,364
MADISON,13411,NY,1
MADISON,13417,NY,1
MADISON,13418,NY,31
MADISON,13420,NY,1
MADISON,13421,NY,1454
MADISON,13425,NY,24
MADISON,13428,NY,1
MADISON,13440,NY,1
MADISON,13460,NY,6
MADISON,13461,NY,2
MADISON,13476,NY,1
MADISON,13478,NY,2
MADISON,13480,NY,8
MADISON,13484,NY,9
MADISON,13485,NY,106
MADISON,13491,NY,23
MADISON,13501,NY,1
MADISON,13505,NY,1
MADISON,13691,NY,1
MADISON,13746,NY,1
MADISON,13778,NY,1
MADISON,13801,NY,1
MADISON,13863,NY,1
MADISON,14217,NY,1
MADISON,14546,NY,1
MADISON,14559,NY,2
MADISON,14608,NY,1
MADISON,14609,NY,1
MADISON,14801,NY,1
MADISON,21117,MD,7
MADISON,22311,VA,1
MADISON,30009,GA,1
MADISON,37072,TN,1
MADISON,47546,IN,1
MADISON,60016,IL,4
MADISON,60173,IL,2
ONEIDA,01202,MA,1
ONEIDA,06032,CT,1
ONEIDA,07512,NJ,1
ONEIDA,08054,NJ,3
ONEIDA,10302,NY,1
ONEIDA,10461,NY,1
ONEIDA,10466,NY,1
ONEIDA,10469,NY,1
ONEIDA,10962,NY,1
ONEIDA,11207,NY,1
ONEIDA,11357,NY,1
ONEIDA,11368,NY,1
ONEIDA,11420,NY,1
ONEIDA,11718,NY,1
ONEIDA,12010,NY,3
ONEIDA,12043,NY,1
ONEIDA,12070,NY,1
ONEIDA,12078,NY,1
ONEIDA,12110,NY,1
ONEIDA,12116,NY,1
ONEIDA,12144,NY,2
ONEIDA,12183,NY,3
ONEIDA,12205,NY,1
ONEIDA,12207,NY,6
ONEIDA,12226,NY,35
ONEIDA,12229,NY,20
ONEIDA,12232,NY,80
ONEIDA,12233,NY,4
ONEIDA,12235,NY,1
ONEIDA,12457,NY,1
ONEIDA,12502,NY,1
ONEIDA,12569,NY,1
ONEIDA,12801,NY,1
ONEIDA,13029,NY,1
ONEIDA,13030,NY,1
ONEIDA,13031,NY,1
ONEIDA,13032,NY,26
