NAME,P1_001N,state,place
"Lowville village, New York",3272,36,43720
"Lynbrook village, New York",20438,36,43874
"Lyncourt CDP, New York",4376,36,43885
"Lyndonville village, New York",771,36,43918
"Lyon Mountain CDP, New York",421,36,43951
"Lyons CDP, New York",3989,36,43962
"Lyons Falls village, New York",570,36,44006
"MacDonnell Heights CDP, New York",1291,36,44105
"Macedon CDP, New York",2092,36,44149
"McGraw village, New York",972,36,44193
"Machias CDP, New York",505,36,44226
"McLean CDP, New York",378,36,44358
