level,geo,NAME,workers
place,45557,"Margaretville village, New York",747
place,45573,"Mariaville Lake CDP, New York",28
place,45634,"Marion CDP, New York",418
place,45659,"Marist College CDP, New York",2671
place,45700,"Marlboro CDP, New York",1310
place,45986,"Massapequa CDP, New York",8381
place,45997,"Massapequa Park village, New York",3498
place,46019,"Massena village, New York",5418
place,46074,"Mastic CDP, New York",1242
place,46085,"Mastic Beach CDP, New York",1829
place,46107,"Matinecock village, New York",550
place,46140,"Mattituck CDP, New York",1549
place,46151,"Mattydale CDP, New York",1155
place,46162,"Maybrook village, New York",632
place,46206,"Mayfield village, New York",303
place,46239,"Mayville village, New York",1687
place,46349,"Mechanicstown CDP, New York",3914
place,46360,"Mechanicville city, New York",1448
place,46404,"Medford CDP, New York",9405
place,46415,"Medina village, New York",3053
place,46503,"Melrose Park CDP, New York",279
place,46514,"Melville CDP, New York",38373
place,46536,"Menands village, New York",4685
place,46646,"Meridian village, New York",38
place,46668,"Merrick CDP, New York",8705
place,46750,"Merritt Park CDP, New York",201
place,46811,"Mexico village, New York",1462
place,46866,"Middleburgh village, New York",819
place,46976,"Middle Island CDP, New York",2837
place,46998,"Middleport village, New York",633
place,47042,"Middletown city, New York",10369
place,47108,"Middleville village, New York",57
place,47229,"Milford village, New York",333
place,47273,"Millbrook village, New York",1487
place,47306,"Miller Place CDP, New York",3278
place,47361,"Millerton village, New York",501
place,47405,"Mill Neck village, New York",174
place,47427,"Millport village, New York",39
place,47482,"Millwood CDP, New York",532
place,47548,"Milton CDP (Saratoga County), New York",645
place,47554,"Milton CDP (Ulster County), New York",883
place,47636,"Mineola village, New York",20595
place,47680,"Minetto CDP, New York",238
place,47702,"Mineville CDP, New York",215
place,47757,"Minoa village, New York",579
place,47823,"Mohawk village, New York",785
