cty,stplc,C000,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,n_blocks
36025,3634979,48,0,0,0,9,0,0,9,13,0,10,0,1,0,0,0,0,3,0,3,0,5
36025,3645557,460,0,0,0,23,2,0,43,0,59,12,0,4,0,0,149,60,0,27,20,61,11
36025,3667334,2883,0,2,0,21,1452,58,216,2,45,142,10,25,0,12,253,166,6,118,91,264,39
36025,3670618,1019,2,0,6,45,553,2,86,2,0,4,3,0,0,0,211,33,0,48,11,13,18
36025,3678036,1321,0,0,0,3,162,8,149,0,12,139,0,8,4,37,228,287,0,92,66,126,32
36025,9999999,4945,157,112,29,426,969,310,361,81,12,36,59,131,14,71,524,764,117,403,218,151,338
36027,3601682,307,0,0,0,69,1,16,40,15,0,6,4,4,0,34,3,15,0,34,20,46,9
36027,3602616,1967,0,0,0,14,13,15,209,6,8,80,32,102,0,47,76,368,29,465,69,434,31
36027,3604388,2491,0,0,0,0,0,0,4,0,0,1,0,5,1,0,2477,2,1,0,0,0,2
36027,3604605,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1
36027,3605100,5154,0,0,0,95,249,20,323,19,82,46,74,179,9,175,599,496,186,630,234,1738,121
36027,3608334,432,0,0,0,50,0,3,116,0,0,0,1,13,0,69,25,57,12,47,39,0,16
36027,3615060,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
36027,3619229,1059,0,0,0,58,1,4,153,0,0,15,25,76,7,26,163,143,69,265,54,0,13
36027,3620841,217,0,0,0,16,0,0,12,5,0,0,3,12,0,6,55,52,2,49,5,0,11
36027,3625109,4762,0,0,0,55,25,42,401,16,0,12,16,4,3,39,678,2548,0,314,28,581,38
36027,3625967,3269,1,0,0,177,62,28,458,620,21,141,78,111,5,55,91,502,151,622,84,62,27
36027,3627452,1109,0,0,0,0,0,1,184,0,28,17,4,16,1,0,492,67,4,196,30,69,8
36027,3632776,587,0,0,0,42,0,15,21,155,0,0,2,28,1,30,109,90,0,51,43,0,22
36027,3634803,22,0,0,0,8,0,1,0,0,0,7,0,0,0,3,0,2,0,0,1,0,3
36027,3635573,943,0,0,0,43,9,0,281,0,33,30,4,11,0,152,22,6,0,123,67,162,13
36027,3637198,1017,0,0,0,34,2,0,25,7,14,13,0,5,0,76,232,192,0,235,67,115,21
36027,3644105,350,0,0,0,2,0,0,9,3,0,11,0,0,0,2,0,234,28,51,10,0,4
36027,3645659,2877,0,0,0,0,0,0,5,0,0,0,0,3,0,1,2761,0,4,103,0,0,1
36027,3646750,52,0,0,0,0,1,0,7,34,0,0,0,5,0,2,0,2,0,0,1,0,7
36027,3647273,734,8,0,0,49,7,0,53,0,15,33,20,65,0,24,185,86,27,103,30,29,16
