fiscal_year_ended,taxing_jurisdiction,jurisdiction_code,amount_distributed
2015,City of Oneida Sales and Use Tax,83,4415335
2015,City of Oswego Sales and Use Tax,84,13058205
2015,City of Plattsburgh Sales and Use Tax,85,0
2015,City of Rome Sales and Use Tax,86,6990648
2015,City of Salamanca Sales and Use Tax,87,637733
2015,City of Saratoga Springs Sales and Use Tax,88,11306420
2015,City of Schenectady Sales and Use Tax,89,0
2015,City of Sherrill Sales and Use Tax,90,1205
2015,City of Troy Sales and Use Tax,91,0
2015,City of Utica Sales and Use Tax,92,9834394
2015,City of White Plains Sales and Use Tax,93,51672061
2015,City of Yonkers Sales and Use Tax,94,43090745
2015,City of Yonkers Special Sales and Use Tax,95,28727156
2015,City of Newburgh Consumer Utilities,96,1074658
2015,City of Port Jervis Consumer Utilities,97,310362
2015,Albany City School District Consumer Utilities,98,4492570
2015,Batavia City School District Consumer Utilities,99,820413
2015,Cohoes City School District Consumer Utilities,100,574371
2015,Glen Cove City School District Consumer Utilities,101,1403484
2015,Gloversville City School District Consumer Utilities,102,613252
2015,Hornell City School District Consumer Utilities,103,332789
2015,Hudson City School District Consumer Utilities,104,668146
2015,Johnstown City School District Consumer Utilities,105,479180
2015,Lackawanna City School District Consumer Utilities,106,596380
2015,Long Beach City School District Consumer Utilities,107,1778517
2015,Middletown City School District Consumer Utilities,108,1498209
2015,Mt. Vernon City School District Consumer Utilities,109,2715270
2015,New Rochelle City School District Consumer Utilities,110,3499499
2015,Newburgh City School District Consumer Utilities,111,2020049
2015,Niagara Falls City School District Consumer Utilities,112,2141365
2015,Ogdensburg City School District Consumer Utilities,113,417052
2015,Peekskill City School District Consumer Utilities,114,933368
2015,Rensselaer City School District Consumer Utilities,115,408332
2015,Rye City School District Consumer Utilities,116,347604
2015,Schenectady City School District Consumer Utilities,117,2455496
2015,Troy City School District Consumer Utilities,118,1547837
2015,Utica City School District Consumer Utilities,119,2053671
2015,Watertown City School District Consumer Utilities,120,1253731
2015,Watervliet City School District Consumer Utilities,121,380992
2015,White Plains City School District Consumer Utilities,122,3975509
2015,New York City Convention Center Development Corporation Hotel Occupancy,123,45521939
2015,"City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services",124,2593807
2015,City of Long Beach Hotel Occupancy and Restaurant Meals,125,1958993
