block,place_fips
360010026003016,3601000
360010026003017,3601000
360010026003018,3601000
360010026004000,3601000
360010026004001,3601000
360010026004002,3601000
360010026004003,3601000
360010026004004,3601000
360010026004005,3601000
360010026004006,3601000
360010026004007,3601000
360010026004008,3601000
360010026004009,3601000
360010026004010,3601000
360010026004011,3601000
360010026004012,3601000
360010026004013,3601000
360010026004014,3601000
360010026004015,3601000
360010026004016,3601000
360010026004017,3601000
360010026004018,3601000
360010026004019,3601000
360010026004020,3601000
360010026004021,3601000
360010026004022,3601000
360010026004023,3601000
360010026004024,3601000
360010026004025,3601000
360010026004026,3601000
360010026004027,3601000
360010127001000,3616749
360010127001001,3616749
360010127001002,3616749
360010127001003,3616749
360010127001004,3616749
360010127001005,3616749
360010127001006,3616749
360010127001007,3616749
360010127001008,3616749
360010127001009,3616749
360010127001010,3616749
360010127001011,3616749
360010127001012,3616749
360010127001013,3616749
360010127001014,3616749
360010127001015,3616749
360010127001016,3616749
360010127001017,3616749
360010127001018,3616749
360010127002000,3616749
360010127002001,3616749
360010127002002,3616749
360010127002003,3616749
360010127002004,3616749
360010127002005,3616749
360010127002006,3616749
360010127002007,3616749
360010127002008,3616749
360010127002009,3616749
360010127002010,3616749
360010127002011,3616749
360010127002012,3616749
360010127002013,3616749
360010127002014,3616749
360010127002015,3616749
360010127002016,3616749
360010127002017,3616749
360010127003000,3616749
360010127003001,3616749
360010127003002,3616749
360010127003003,3616749
360010127003004,3616749
360010127003005,3616749
360010127003006,3616749
360010127003007,3616749
360010127003008,3616749
360010127003009,3616749
360010127003010,3616749
360010127003011,3616749
360010127003012,3616749
360010127003013,3616749
360010127003014,3616749
360010128001000,3616749
360010128001001,3616749
360010128001002,3616749
360010128001003,3616749
360010128001004,3616749
360010128001005,3616749
360010128001006,3616749
360010128001007,3616749
360010128001008,3616749
360010128001009,3616749
360010128001010,3616749
360010128001011,3616749
360010128001012,3616749
360010128001013,3616749
360010128001014,3616749
360010128001015,3616749
360010128001016,3616749
360010128001017,3616749
360010128001018,3616749
360010128001019,3616749
360010128001020,3616749
360010128001021,3616749
360010128001022,3616749
360010128002000,3616749
360010128002001,3616749
360010128002002,3616749
360010128002003,3616749
360010128002004,3616749
360010128002005,3616749
360010128002006,3616749
360010128002007,3616749
360010128002008,3616749
360010128002009,3616749
360010128002010,3616749
360010128003000,3616749
360010128003001,3616749
360010128003002,3616749
360010128003003,3616749
360010128003004,3616749
360010128003005,3616749
360010128003006,3616749
360010128003007,3616749
360010128003008,3616749
360010128003009,3616749
360010128003010,3616749
360010128003011,3616749
360010128003012,3616749
360010128003013,3616749
